frame,timestamp,L,a,b,agtron_interpolado,origem_video
514,16.804,166.537,128.299,129.968,91.312,v1
515,16.836,165.342,128.157,129.906,91.304,v1
516,16.868,164.676,127.95,130.111,91.297,v1
517,16.9,164.748,127.806,129.776,91.289,v1
518,16.932,164.752,127.847,129.734,91.282,v1
519,16.968,164.661,128.237,129.742,91.273,v1
520,17.0,164.429,127.803,130.136,91.266,v1
521,17.032,164.002,127.971,129.768,91.258,v1
522,17.064,163.599,127.822,130.175,91.251,v1
523,17.096,163.535,128.518,130.205,91.243,v1
524,17.132,162.903,128.532,130.105,91.234,v1
525,17.164,162.901,128.199,130.364,91.227,v1
526,17.196,160.667,128.631,130.361,91.219,v1
527,17.228,159.95,128.694,129.983,91.212,v1
528,17.26,159.962,128.552,130.058,91.204,v1
529,17.292,160.924,128.506,129.927,91.197,v1
530,17.328,161.149,128.365,130.079,91.188,v1
531,17.36,160.887,128.351,130.135,91.181,v1
532,17.392,160.362,128.513,130.039,91.173,v1
533,17.424,160.308,128.395,129.98,91.166,v1
534,17.456,160.187,127.97,129.874,91.158,v1
535,17.492,160.622,127.935,129.996,91.149,v1
536,17.524,161.736,128.009,129.777,91.142,v1
537,17.556,161.139,127.851,129.814,91.134,v1
538,17.588,161.281,127.865,129.67,91.127,v1
539,17.62,162.222,127.691,129.807,91.119,v1
540,17.656,162.442,127.73,129.876,91.111,v1
541,17.688,163.643,127.629,130.071,91.103,v1
542,17.72,163.391,127.947,129.86,91.096,v1
543,17.752,163.525,127.954,129.598,91.088,v1
544,17.784,163.269,127.848,129.583,91.081,v1
545,17.816,163.906,127.884,129.521,91.073,v1
546,17.852,163.719,127.601,129.386,91.064,v1
547,17.884,163.27,127.698,129.316,91.057,v1
548,17.916,163.529,127.573,129.256,91.049,v1
549,17.948,163.421,127.718,129.502,91.042,v1
550,17.98,162.607,127.662,129.568,91.034,v1
551,18.016,162.364,127.653,129.626,91.026,v1
552,18.048,163.089,127.536,129.589,91.018,v1
